Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymerP25,"[(1, 'E2'), (2, 'E9'), (3, 'S8'), (4, 'E2'), (5, 'E2'), (6, 'S4'), (7, 'E3'), (8, 'E1'), (9, 'E7'), (10, 'S6'), (11, 'E6'), (12, 'E7'), (13, 'S8'), (14, 'E1'), (15, 'S2'), (16, 'S9'), (17, 'E7'), (18, 'E8'), (19, 'E2'), (20, 'S6')]",752,821,16944.91,448.04,1.78,3.90,17.74,0.16,822,-
polymerP26,"[(1, 'E3'), (2, 'S9'), (3, 'E3'), (4, 'E3'), (5, 'E6'), (6, 'E0'), (7, 'S4'), (8, 'E2'), (9, 'E6'), (10, 'E2'), (11, 'S0'), (12, 'E4'), (13, 'S8'), (14, 'E3'), (15, 'E4'), (16, 'E7'), (17, 'E1'), (18, 'S6'), (19, 'E5'), (20, 'E8')]",397,466,13919.30,367.27,1.68,3.70,17.90,0.15,-,467
polymerP27,"[(1, 'S8'), (2, 'S6'), (3, 'E7'), (4, 'S6'), (5, 'S9'), (6, 'S2'), (7, 'E5'), (8, 'S0'), (9, 'S5'), (10, 'S5'), (11, 'S5'), (12, 'E8'), (13, 'E1'), (14, 'E5'), (15, 'E5'), (16, 'S4'), (17, 'E6'), (18, 'S3'), (19, 'E5'), (20, 'E2')]",830,899,15954.77,386.61,1.66,4.01,19.65,0.15,900,-
polymerP28,"[(1, 'S3'), (2, 'E7'), (3, 'E2'), (4, 'S6'), (5, 'S2'), (6, 'E9'), (7, 'S7'), (8, 'E6'), (9, 'E7'), (10, 'E8'), (11, 'S9'), (12, 'S7'), (13, 'S0'), (14, 'E7')]",830,899,13683.52,392.01,1.93,4.23,17.12,0.10,900,-
polymerP29,"[(1, 'S1'), (2, 'E5'), (3, 'S3'), (4, 'E0'), (5, 'E7'), (6, 'S8'), (7, 'S1'), (8, 'S3'), (9, 'S9'), (10, 'E9'), (11, 'E5'), (12, 'E4')]",830,899,10076.85,267.22,1.90,4.38,16.03,0.12,900,-
polymerP30,"[(1, 'S4'), (2, 'S5'), (3, 'S9'), (4, 'E9'), (5, 'S6'), (6, 'E7'), (7, 'S6'), (8, 'S1'), (9, 'E4'), (10, 'E4'), (11, 'S5'), (12, 'S4'), (13, 'E3'), (14, 'S5')]",830,899,14807.97,294.16,1.74,4.20,17.66,0.11,900,-
polymerP31,"[(1, 'S8'), (2, 'E4'), (3, 'E8'), (4, 'E0'), (5, 'S9'), (6, 'E2'), (7, 'E4'), (8, 'E3'), (9, 'E2'), (10, 'E3'), (11, 'E1'), (12, 'S6'), (13, 'E4')]",nan,nan,nan,nan,nan,nan,nan,nan,900,897
polymerP32,"[(1, 'S7'), (2, 'E0'), (3, 'E2'), (4, 'S3'), (5, 'S4'), (6, 'E2'), (7, 'E7'), (8, 'E3'), (9, 'S0'), (10, 'S4'), (11, 'S3'), (12, 'S6')]",399,468,9442.60,272.22,1.86,4.47,16.46,0.16,-,469
polymerP33,"[(1, 'E8'), (2, 'E0'), (3, 'E2'), (4, 'E8'), (5, 'E9'), (6, 'E5'), (7, 'E2'), (8, 'E8'), (9, 'E3'), (10, 'S8'), (11, 'E8'), (12, 'S7')]",nan,nan,nan,nan,nan,nan,nan,nan,900,900
polymerP34,"[(1, 'E8'), (2, 'E4'), (3, 'S5'), (4, 'E3'), (5, 'S6'), (6, 'E7'), (7, 'S6'), (8, 'S5'), (9, 'E2'), (10, 'E6'), (11, 'E6'), (12, 'S7'), (13, 'E2')]",830,899,12744.30,317.83,1.89,4.09,16.66,0.15,-,900
